('Wayback_Machine', 0.02328263603734065)
('International_Standard_Book_Number', 0.019930846263182946)
('Integrated_Authority_File', 0.018130124798405547)
('Sun', 0.016994745387946097)
('Digital_object_identifier', 0.015794913399255577)
('NASA', 0.01454524847467453)
('Library_of_Congress_Control_Number', 0.013195767073757327)
('Bibcode', 0.009294273437300143)
('National_Diet_Library', 0.0069519585247834635)
('Earth', 0.006637068977727064)
('PubMed_Identifier', 0.00650995865655802)
('OCLC', 0.005597580449159564)
('Space', 0.005256993680226088)
('Moon', 0.005252724385566193)
('Astronomy', 0.0050997993712272064)
('Canada', 0.00483099216443932)
('ArXiv', 0.004750394855646745)
('Electron', 0.004628414561050219)
('PubMed_Central', 0.00452256705819898)
('Solar_eclipse', 0.0038191779998015952)
('Star', 0.0036845833816771673)
('India', 0.0031860401469773446)
('Mir', 0.0031769543706496564)
('Russia', 0.0031067647424379424)
('United_Kingdom', 0.003101363860423948)
('Month', 0.0029939033292301553)
('Solar_System', 0.0029286593678263424)
('Gas', 0.002875407831651241)
('Corona', 0.002730465120461458)
('Eclipse', 0.0026548557319438218)
('France', 0.0026495068777270857)
('Iron', 0.002327702974897992)
('BBC', 0.002320429956563805)
('Kelvin', 0.002080779844111829)
('Solar_wind', 0.001962582684138143)
('Magnetic_field', 0.001957100968765086)
('Ancient_Greek', 0.0019464762036663892)
('Cambridge_University_Press', 0.0019299226170869043)
('Turkey', 0.0019196833635119121)
('Cyprus', 0.0018587090989869498)
('Equator', 0.001824058669027381)
('Germany', 0.001811434746508087)
('Temperature', 0.001760716798265239)
('Plasma_(physics)', 0.0017321312850203578)
('Sunlight', 0.0017248018515321816)
('International_Space_Station', 0.0016804309616071608)
('Romania', 0.0016757858062408845)
('Iran', 0.0016420933301107196)
('Albert_Einstein', 0.001620079566545593)
('Bulgaria', 0.0015977008447505244)
